GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: static-file-service-impl,org.opencastproject.staticfiles.impl,StaticFileServiceImpl.PurgeTemporaryStorageService,0,15,0,0,0,4,0,3,0,3
Opencast :: static-file-service-impl,org.opencastproject.staticfiles.impl,StaticFileServiceImpl.new DirectoryStream.Filter() {...},0,22,1,3,0,2,1,3,0,2
Opencast :: static-file-service-impl,org.opencastproject.staticfiles.impl,StaticFileServiceImpl.new DirectoryStream.Filter() {...},1,23,1,1,0,2,1,2,0,2
Opencast :: static-file-service-impl,org.opencastproject.staticfiles.impl,StaticFileServiceImpl.new Service.Listener() {...},5,3,0,0,2,1,1,1,1,1
Opencast :: static-file-service-impl,org.opencastproject.staticfiles.impl,StaticFileServiceImpl,110,366,10,20,25,78,12,21,2,16
