GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,MicrosoftAzureAttachTranscriptionOperationHandler,291,0,26,0,69,0,19,0,6,0
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,AmberscriptAttachTranscriptionOperationHandler,263,0,18,0,64,0,18,0,9,0
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,StartTranscriptionOperationHandler,46,144,7,17,13,37,7,11,1,5
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,GoogleSpeechStartTranscriptionOperationHandler,50,161,8,18,14,40,8,11,1,5
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,MicrosoftAzureStartTranscriptionOperationHandler,377,0,38,0,93,0,28,0,9,0
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,AttachTranscriptionOperationHandler,34,186,6,12,8,43,7,10,1,7
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,GoogleSpeechAttachTranscriptionOperationHandler,34,196,7,13,8,46,8,10,1,7
Opencast :: transcription-service-workflowoperation,org.opencastproject.transcription.workflowoperation,AmberscriptStartTranscriptionOperationHandler,245,0,22,0,53,0,17,0,6,0
