GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: themes,org.opencastproject.themes.persistence,ThemesServiceDatabaseImpl,110,555,5,23,29,113,8,31,3,20
Opencast :: themes,org.opencastproject.themes.persistence,ThemesServiceDatabaseException,4,0,0,0,2,0,1,0,1,0
Opencast :: themes,org.opencastproject.themes.persistence,ThemeDto,60,149,0,0,20,50,20,22,20,22
Opencast :: themes,org.opencastproject.themes,Theme,13,139,0,0,1,42,1,21,1,21
Opencast :: themes,org.opencastproject.themes.list,ThemesListQuery,21,0,0,0,7,0,4,0,4,0
Opencast :: themes,org.opencastproject.themes.list,ThemesListProvider,147,0,10,0,33,0,13,0,8,0
