GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.provider.impl,WowzaUrlSigningProvider,37,347,12,18,11,69,12,12,0,9
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.provider.impl,GenericUrlSigningProvider,0,23,0,0,0,8,0,6,0,6
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.provider.impl,AbstractUrlSigningProvider,85,320,18,38,18,68,16,25,0,12
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.provider.impl,AbstractUrlSigningProvider.Key,0,32,0,4,0,8,0,5,0,3
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.service.impl,UrlSigningServiceImpl,73,65,6,4,14,16,6,6,3,4
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning.service.impl,UrlSigningEndpoint,68,0,6,0,14,0,7,0,4,0
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning,WowzaResourceStrategyImpl,28,107,8,10,7,19,6,7,0,4
Opencast :: urlsigning-service-impl,org.opencastproject.security.urlsigning,SigningMediaPackageSerializer,82,33,12,0,25,10,14,4,8,4
