GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: common-jpa-impl,org.opencastproject.serviceregistry.impl.jpa,HostRegistrationJpaImpl,88,54,2,0,35,17,23,3,22,3
Opencast :: common-jpa-impl,org.opencastproject.serviceregistry.impl.jpa,ServiceRegistrationJpaImpl,213,81,20,0,62,20,38,6,28,6
Opencast :: common-jpa-impl,org.opencastproject.job.jpa,JpaJob,247,239,11,1,63,60,36,10,30,10
Opencast :: common-jpa-impl,org.opencastproject.security.impl.jpa,JpaUser,183,60,19,1,37,18,26,4,16,4
Opencast :: common-jpa-impl,org.opencastproject.security.impl.jpa,JpaOrganization,108,35,6,0,35,12,19,3,16,3
Opencast :: common-jpa-impl,org.opencastproject.security.impl.jpa,JpaRole,96,6,6,0,25,3,16,1,13,1
Opencast :: common-jpa-impl,org.opencastproject.security.impl.jpa,JpaGroup,189,3,14,0,47,2,28,1,21,1
Opencast :: common-jpa-impl,org.opencastproject.security.impl.jpa,JpaUserReference,197,3,12,0,46,2,25,1,19,1
