GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: asset-manager-storage-fs,org.opencastproject.assetmanager.storage.impl.fs,OsgiFileSystemAssetStore.new CacheLoader() {...},2,16,1,1,0,3,1,2,0,2
Opencast :: asset-manager-storage-fs,org.opencastproject.assetmanager.storage.impl.fs,AbstractFileSystemAssetStore,139,356,14,21,33,74,15,22,2,17
Opencast :: asset-manager-storage-fs,org.opencastproject.assetmanager.storage.impl.fs,OsgiFileSystemAssetStore,375,110,38,4,85,20,31,6,10,6
Opencast :: asset-manager-storage-fs,org.opencastproject.assetmanager.storage.impl.fs,AbstractFileSystemAssetStore.new FilenameFilter() {...},0,13,0,0,0,2,0,2,0,2
