GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: timelinepreviews-ffmpeg,org.opencastproject.timelinepreviews.ffmpeg,TimelinePreviewsServiceImpl,264,493,18,14,71,115,24,9,8,9
Opencast :: timelinepreviews-ffmpeg,org.opencastproject.timelinepreviews.ffmpeg,TimelinePreviewsServiceImpl.Operation,0,9,0,0,0,2,0,1,0,1
Opencast :: timelinepreviews-ffmpeg,org.opencastproject.timelinepreviews.endpoint,TimelinePreviewsRestEndpoint,82,0,6,0,22,0,11,0,8,0
