GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.tobira,TobiraException,28,0,0,0,12,0,3,0,3,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.tobira,TobiraService,209,0,10,0,55,0,21,0,16,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.userdirectory,UIRolesRoleProvider,121,0,8,0,31,0,15,0,11,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,TextFilter,41,0,6,0,5,0,4,0,1,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.InternalDuration,0,72,0,0,0,14,0,4,0,4
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,BulkUpdateUtil,30,380,9,25,6,84,11,15,2,7
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,ClassPathInspector,34,0,2,0,12,0,5,0,4,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructions,0,63,0,2,0,15,0,3,0,2
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.util,BulkUpdateUtil.BulkUpdateInstructionGroup,0,21,0,0,0,8,0,4,0,4
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.impl,ProviderQuery,147,0,10,0,47,0,19,0,14,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.impl,RawProviderQuery,18,0,0,0,7,0,6,0,6,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.impl,AdminUIConfiguration,5,68,1,1,2,16,2,5,1,5
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,GroupsEndpoint,414,0,14,0,98,0,23,0,16,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobComparator,49,86,8,10,13,33,7,8,0,2
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint.Service,85,142,1,1,14,28,3,13,2,13
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,EndpointUtil,93,175,12,16,19,34,8,9,0,3
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,JobEndpoint,308,441,41,31,61,102,29,23,2,14
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint,30,258,11,43,6,62,9,25,0,7
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.CachedServer,0,3,0,0,0,1,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,CaptureAgentsEndpoint,214,224,36,18,40,49,26,11,4,6
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Status,0,21,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,AbstractEventEndpoint,3742,3761,369,223,816,788,273,136,36,67
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ListProvidersEndpoint,253,69,28,0,61,22,19,5,5,5
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,AclEndpoint.new Comparator() {...},54,0,6,0,10,0,5,0,2,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,VersionEndpoint,134,0,8,0,32,0,9,0,5,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Server,0,3,0,0,0,1,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint.JsonRole,7,10,0,0,2,4,2,1,2,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.Sort,0,45,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,CaptureAgentsEndpoint.new Comparator() {...},41,45,8,4,9,7,6,3,0,2
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ThemesEndpoint,198,811,34,42,63,187,35,25,1,21
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint,765,245,76,16,168,58,56,13,12,9
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobExtended,0,15,0,0,0,6,0,3,0,3
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,StatisticsEndpoint,465,0,34,0,121,0,41,0,23,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,TasksEndpoint,16,216,1,13,5,57,1,14,0,8
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServicesEndpoint.ServiceStatisticsComparator,23,151,3,26,4,38,3,17,0,2
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,SeriesEndpoint,1826,527,127,34,451,127,104,28,32,17
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint.ServerComparator,24,44,4,5,4,9,4,6,0,3
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,VersionEndpoint.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,ServerEndpoint,28,436,7,35,5,85,6,26,0,11
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,OsgiEventEndpoint,195,0,2,0,70,0,39,0,38,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,AclEndpoint,263,304,29,19,56,74,26,19,8,13
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,JobEndpoint.JobSort,0,57,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,UsersEndpoint.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,EndpointUtil.new Object() {...},0,14,0,0,0,4,0,1,0,1
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.endpoint,UserSettingsEndpoint,67,85,0,2,16,21,1,9,1,8
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.usersettings.persistence,UserSettingsServiceException,8,0,0,0,4,0,2,0,2,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.usersettings.persistence,UserSettingDto,10,60,0,0,4,21,3,10,3,10
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.usersettings,UserSettingsService,93,416,2,8,19,91,4,25,2,22
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.usersettings,UserSetting,0,47,0,0,0,9,0,5,0,5
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.usersettings,UserSettings,36,133,1,5,9,29,7,9,6,7
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.exception,JobEndpointException,5,0,0,0,2,0,1,0,1,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.exception,IllegalLanguageFilenameException,9,0,0,0,4,0,2,0,2,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.exception,IllegalPathException,9,0,0,0,4,0,2,0,2,0
Opencast :: jacoco-reports/opencast-admin-service,org.opencastproject.adminui.exception,JsonCreationException,4,0,0,0,2,0,1,0,1,0
Opencast :: jacoco-reports/opencast-adopter-registration-api,org.opencastproject.adopter.registration,AdopterRegistrationExtra,22,0,0,0,10,0,5,0,5,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration.dto,GeneralData,124,0,0,0,36,0,19,0,19,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration.dto,Adopter.TERMSOFUSEVERSION,15,0,0,0,2,0,1,0,1,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration.dto,StatisticData,106,0,2,0,42,0,27,0,26,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration.dto,Host,54,0,0,0,21,0,11,0,11,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration.dto,Adopter,382,0,6,0,131,0,53,0,50,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration,AdopterRegistrationSender,164,0,12,0,39,0,15,0,9,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration,AdopterRegistrationRestService,163,0,8,0,45,0,15,0,11,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration,AdopterRegistrationSender.HttpDeleteWithEntity,9,0,0,0,4,0,2,0,2,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration,AdopterRegistrationException,16,0,0,0,8,0,4,0,4,0
Opencast :: jacoco-reports/opencast-adopter-registration-impl,org.opencastproject.adopter.registration,AdopterRegistrationServiceImpl,674,0,24,0,182,0,44,0,32,0
Opencast :: jacoco-reports/opencast-analyze-mediapackage-workflowoperation,org.opencastproject.workflow.handler.analyzemediapackage,AnalyzeMediapackageWorkflowOperationHandler,70,128,9,11,11,27,8,6,1,3
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,PropertyId,26,99,4,8,2,15,6,11,2,9
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.DateType,3,6,0,0,1,2,1,2,1,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Property,15,66,3,7,1,10,4,9,1,7
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.DateValue,0,4,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.TypedValue,0,55,2,4,0,8,2,7,0,6
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.VersionValue,4,0,0,0,2,0,1,0,1,0
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.BooleanType,3,6,0,0,1,2,1,2,1,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,PropertyName,60,25,10,0,4,7,9,4,4,4
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,5,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.StringType,3,6,0,0,1,2,1,2,1,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},2,3,0,0,1,1,1,1,1,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.new Function() {...},0,10,0,0,0,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.StringValue,0,4,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Availability,0,15,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.BooleanValue,0,4,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.UntypedType,10,3,0,0,2,1,2,1,2,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,AssetId,82,22,12,0,8,7,12,3,6,3
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value,21,133,3,9,4,24,3,14,1,10
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,AssetManagerException,12,12,0,0,4,6,3,3,3,3
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.LongType,3,6,0,0,1,2,1,2,1,2
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.VersionType,6,3,0,0,2,1,2,1,2,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api,Value.LongValue,0,4,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.storage,DeletionSelector,56,56,12,0,5,11,9,7,3,7
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.storage,StoragePath,2,111,7,7,0,18,7,10,0,10
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.storage,AssetStoreException,12,4,0,0,6,2,3,1,3,1
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.storage,Source,20,32,0,0,3,9,3,5,3,5
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.fn,Product,9,0,0,0,4,0,2,0,2,0
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.fn,ProductBuilder,13,0,0,0,4,0,3,0,3,0
Opencast :: jacoco-reports/opencast-asset-manager-api,org.opencastproject.assetmanager.api.fn,Properties,42,13,0,0,5,2,5,2,5,2
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,SnapshotImpl,0,75,0,0,0,27,0,9,0,9
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerImpl.AdminRole,0,21,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetImpl,9,36,0,0,3,13,3,5,3,5
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer.Operation,0,33,0,0,0,2,0,1,0,1
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,RuntimeTypes,8,7,0,0,2,2,0,2,0,2
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,TimedMediaArchiver,222,0,14,0,64,0,22,0,15,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,TimedMediaArchiver.Runner,44,0,2,0,9,0,4,0,3,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer.MoveRecordInfo,14,58,1,5,3,16,2,6,1,4
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerJobProducer,148,399,4,3,34,94,10,21,6,20
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,VersionImpl,2,92,3,9,0,15,3,16,0,13
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,AssetManagerImpl,1522,1931,149,112,306,413,131,108,27,79
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl,PartialMediaPackage,3,29,0,0,1,9,1,4,1,4
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractAssetManagerRestEndpoint.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractTieredStorageAssetManagerRestEndpoint,271,0,26,0,75,0,22,0,9,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,OsgiEndpointHttpAssetProvider,164,0,8,0,34,0,13,0,9,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,AbstractAssetManagerRestEndpoint,389,0,40,0,99,0,32,0,12,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.endpoint,OsgiAssetManagerRestEndpoint,18,0,0,0,8,0,5,0,5,0
Opencast :: jacoco-reports/opencast-asset-manager-impl,org.opencastproject.assetmanager.impl.persistence,SnapshotDtos.Medium,13,22,0,0,4,8,4,2,4,2
