GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: series-service-impl,org.opencastproject.series.impl.persistence,SeriesCreatorEntity,62,14,6,0,11,6,9,2,6,2
Opencast :: series-service-impl,org.opencastproject.series.impl.persistence,SeriesServiceDatabaseImpl,856,556,65,31,187,122,54,39,15,30
Opencast :: series-service-impl,org.opencastproject.series.impl.persistence,SeriesEntityId,23,0,0,0,10,0,5,0,5,0
Opencast :: series-service-impl,org.opencastproject.series.impl.persistence,SeriesEntity,41,78,4,4,10,28,10,15,7,14
Opencast :: series-service-impl,org.opencastproject.series.endpoint,SeriesRestService,1198,0,66,0,292,0,63,0,30,0
Opencast :: series-service-impl,org.opencastproject.series.impl,SeriesServiceImpl,917,493,44,30,205,113,54,36,25,28
Opencast :: series-service-impl,org.opencastproject.series.impl,SeriesServiceDatabaseException,13,0,0,0,6,0,3,0,3,0
