GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: silencedetection-impl,org.opencastproject.silencedetection.endpoint,SilenceDetectionServiceEndpoint,68,0,4,0,20,0,8,0,6,0
Opencast :: silencedetection-impl,org.opencastproject.silencedetection.ffmpeg,FFmpegSilenceDetector,72,421,11,29,22,81,10,15,1,4
Opencast :: silencedetection-impl,org.opencastproject.silencedetection.impl,SilenceDetectionServiceImpl,328,0,20,0,89,0,29,0,19,0
Opencast :: silencedetection-impl,org.opencastproject.silencedetection.impl,SilenceDetectionServiceImpl.Operation,9,0,0,0,2,0,1,0,1,0
