GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: distribution-service-download,org.opencastproject.distribution.download.endpoint,DownloadDistributionRestService.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: distribution-service-download,org.opencastproject.distribution.download.endpoint,DownloadDistributionRestService.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: distribution-service-download,org.opencastproject.distribution.download.endpoint,DownloadDistributionRestService,221,0,2,0,57,0,12,0,11,0
Opencast :: distribution-service-download,org.opencastproject.distribution.download.endpoint,DownloadDistributionRestService.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: distribution-service-download,org.opencastproject.distribution.download.endpoint,DownloadDistributionRestService.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
Opencast :: distribution-service-download,org.opencastproject.distribution.download,DownloadDistributionServiceImpl.Operation,0,15,0,0,0,2,0,1,0,1
Opencast :: distribution-service-download,org.opencastproject.distribution.download,DownloadDistributionServiceImpl.new SimpleFileVisitor() {...},14,47,6,4,3,8,4,3,0,2
Opencast :: distribution-service-download,org.opencastproject.distribution.download,DownloadDistributionServiceImpl.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Opencast :: distribution-service-download,org.opencastproject.distribution.download,DownloadDistributionServiceImpl,574,1267,21,64,111,242,30,59,12,34
