GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: execute-impl,org.opencastproject.execute.impl,ExecuteServiceImpl.Operation,15,0,0,0,2,0,1,0,1,0
Opencast :: execute-impl,org.opencastproject.execute.impl,ExecuteServiceImpl,806,381,90,31,156,82,66,15,12,8
Opencast :: execute-impl,org.opencastproject.execute.impl.endpoint,ExecuteRestEndpoint,201,0,26,0,52,0,21,0,8,0
