GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: editor-service,org.opencastproject.editor,EditorLock,76,14,10,0,17,3,9,1,4,1
Opencast :: editor-service,org.opencastproject.editor,EditorLock.new CacheLoader() {...},5,3,0,0,1,1,1,1,1,1
Opencast :: editor-service,org.opencastproject.editor,EditorServiceImpl,1975,603,151,31,413,138,133,23,51,14
Opencast :: editor-service,org.opencastproject.editor,EditorServiceEndpoint,7,0,0,0,3,0,2,0,2,0
