GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: security-jwt,org.opencastproject.security.jwt,JWTRoleProvider,149,9,20,0,36,4,17,1,7,1
Opencast :: security-jwt,org.opencastproject.security.jwt,JWKSetProvider,64,4,2,0,18,1,4,1,3,1
Opencast :: security-jwt,org.opencastproject.security.jwt,JWTRequestHeaderAuthenticationFilter,7,58,2,6,3,17,3,6,1,4
Opencast :: security-jwt,org.opencastproject.security.jwt,CachedJWT,6,33,0,4,2,7,2,5,2,3
Opencast :: security-jwt,org.opencastproject.security.jwt,Util,47,4,7,1,14,2,4,1,0,1
Opencast :: security-jwt,org.opencastproject.security.jwt,JWTRequestParameterAuthenticationFilter,29,41,5,3,9,13,7,4,3,4
Opencast :: security-jwt,org.opencastproject.security.jwt,DynamicLoginHandler,186,734,42,48,46,181,36,43,4,30
Opencast :: security-jwt,org.opencastproject.security.jwt,JWTVerifier,103,213,24,20,13,44,14,12,0,4
