GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: ingest-service-impl,org.opencastproject.ingest.impl,IngestServiceImpl,2052,2175,152,176,451,458,127,103,23,43
Opencast :: ingest-service-impl,org.opencastproject.ingest.impl,ZipEntryInputStream,28,13,4,0,8,5,4,1,2,1
Opencast :: ingest-service-impl,org.opencastproject.ingest.endpoint,IngestRestService,1331,1035,115,65,348,181,87,45,16,25
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,Ingestor.JsonTags,31,0,2,0,6,0,4,0,3,0
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,Ingestor.JsonFormat,28,0,2,0,3,0,4,0,3,0
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,Ingestor.RetriableIngestJob,846,0,52,0,161,0,36,0,10,0
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,InboxScannerService,555,0,40,0,128,0,43,0,23,0
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,Ingestor,286,0,22,0,70,0,19,0,8,0
Opencast :: ingest-service-impl,org.opencastproject.ingest.scanner,Ingestor.JsonFFprobe,3,0,0,0,1,0,1,0,1,0
