GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: email-template-service-impl,org.opencastproject.email.template.impl,EmailData,17,110,0,2,2,23,1,3,1,2
Opencast :: email-template-service-impl,org.opencastproject.email.template.impl,EmailTemplateServiceImpl,31,317,9,21,12,74,11,19,2,13
Opencast :: email-template-service-impl,org.opencastproject.email.template.impl,EmailTemplateScanner,81,4,4,0,22,1,10,1,8,1
