GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.persistence,SpeechToTextControl,33,39,0,0,11,14,3,6,3,6
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.persistence,SpeechToTextDatabase,61,312,1,1,20,54,2,24,1,24
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.persistence,SpeechToTextControl.Status,0,39,0,0,0,7,0,1,0,1
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.impl,SpeechToTextWorkflowSchedulerQuartz.Runner,44,0,2,0,9,0,4,0,3,0
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.impl,SpeechToTextWorkflowSchedulerQuartz,150,610,22,40,43,131,23,33,2,23
Opencast :: speech-to-text-async-impl,org.opencastproject.speechtotext.async.impl,SpeechToTextAsyncTrackerImpl,6,29,0,0,2,7,1,4,1,4
