GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageBuilderImpl,36,102,4,6,11,28,5,11,2,9
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageImpl,950,1167,176,136,211,293,143,110,33,64
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,TrackSupport,0,38,0,4,0,5,0,3,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageReferenceImpl,187,267,33,31,41,61,33,16,6,11
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,ChainingMediaPackageSerializer.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageSupport.Filters,50,0,2,0,9,0,9,0,8,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,EName,12,168,2,20,2,27,3,22,1,13
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageRuntimeException,9,0,0,0,4,0,2,0,2,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageException,11,4,0,0,4,2,2,1,2,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,SubtitleStream.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,ChainingMediaPackageSerializer,31,78,0,4,11,20,2,7,2,5
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,AdaptivePlaylist.Rep,93,47,2,0,20,13,6,2,5,2
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,PublicationImpl.Adapter,0,8,0,0,0,3,0,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,Catalog,0,3,0,0,0,1,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,UnsupportedElementException,28,0,0,0,9,0,4,0,4,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,MediaPackageElements,0,187,0,0,0,31,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage,CatalogImpl,10,23,0,0,2,6,1,3,1,3
Opencast :: index-service/opencast-common,org.opencastproject.util.function,ThrowingFunction,56,0,0,0,9,0,10,0,10,0
Opencast :: index-service/opencast-common,org.opencastproject.util.function,ThrowingConsumer,28,0,0,0,8,0,4,0,4,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.selector,AttachmentSelector,3,0,0,0,1,0,1,0,1,0
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.selector,SimpleElementSelector,0,3,0,0,0,1,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.selector,AbstractMediaPackageElementSelector,116,333,16,56,20,78,16,39,2,17
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.selector,TrackSelector,0,3,0,0,0,1,0,1,0,1
Opencast :: index-service/opencast-common,org.opencastproject.mediapackage.selector,CatalogSelector,3,0,0,0,1,0,1,0,1,0
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JaxbIncidentTree,5,57,0,0,2,18,0,4,0,4
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JaxbIncidentDigestTree,53,0,0,0,13,0,5,0,5,0
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JaxbIncidentFullList,17,0,0,0,7,0,2,0,2,0
Opencast :: index-service/opencast-common,org.opencastproject.job.api,OsgiAbstractJobProducer,32,0,0,0,14,0,9,0,9,0
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JaxbIncidentDetail,0,22,0,0,0,7,0,3,0,3
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JobImpl,58,483,6,6,27,90,16,36,11,35
Opencast :: index-service/opencast-common,org.opencastproject.job.api,AbstractJobProducer,73,273,6,8,22,40,7,10,3,7
Opencast :: index-service/opencast-common,org.opencastproject.job.api,JaxbIncident.Param,0,25,0,0,0,7,0,4,0,4
