GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: publication-service-oaipmh,org.opencastproject.publication.oaipmh,OaiPmhPublicationServiceImpl.Operation,0,27,0,0,0,2,0,1,0,1
Opencast :: publication-service-oaipmh,org.opencastproject.publication.oaipmh,OaiPmhPublicationServiceImpl,2647,139,252,5,513,29,174,9,44,9
Opencast :: publication-service-oaipmh,org.opencastproject.publication.oaipmh.endpoint,OaiPmhPublicationRestService,369,0,14,0,94,0,25,0,18,0
