GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionDatabaseImpl,123,128,4,2,37,35,6,13,3,13
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControl.Status,0,39,0,0,0,2,0,1,0,1
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionProviderControlDto,54,3,0,0,12,2,6,1,6,1
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionDatabaseException,8,0,0,0,4,0,2,0,2,0
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControl,45,48,0,0,21,17,12,7,12,7
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControlDto,5,216,1,3,1,46,1,16,0,15
Opencast :: transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionProviderControl,11,12,0,0,5,5,3,2,3,2
