GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: videosegmenter-ffmpeg,org.opencastproject.videosegmenter.ffmpeg,VideoSegmenterServiceImpl.Operation,0,9,0,0,0,2,0,1,0,1
Opencast :: videosegmenter-ffmpeg,org.opencastproject.videosegmenter.ffmpeg,VideoSegmenterServiceImpl,1298,1307,140,70,304,277,90,42,9,18
Opencast :: videosegmenter-ffmpeg,org.opencastproject.videosegmenter.ffmpeg,OptimizationStep,13,125,2,10,5,37,5,13,3,9
Opencast :: videosegmenter-ffmpeg,org.opencastproject.videosegmenter.ffmpeg,VideoSegmenterServiceImpl.Chapter,3,0,0,0,1,0,1,0,1,0
Opencast :: videosegmenter-ffmpeg,org.opencastproject.videosegmenter.ffmpeg.endpoint,VideoSegmenterRestEndpoint,81,0,6,0,22,0,11,0,8,0
