GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workspace-impl,org.opencastproject.workspace.impl,WorkspaceCleaner.Runner,32,0,0,0,10,0,3,0,3,0
Opencast :: workspace-impl,org.opencastproject.workspace.impl,WorkspaceCleaner,148,0,8,0,46,0,11,0,7,0
Opencast :: workspace-impl,org.opencastproject.workspace.impl,WorkspaceImpl.DeleteOnCloseFileInputStream,25,0,2,0,9,0,3,0,2,0
Opencast :: workspace-impl,org.opencastproject.workspace.impl,WorkspaceImpl,1232,526,94,31,253,131,86,27,26,23
