GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: cover-image-workflowoperation,org.opencastproject.workflow.handler.coverimage,CoverImageWorkflowOperationHandler,38,9,0,0,16,3,10,2,10,2
Opencast :: cover-image-workflowoperation,org.opencastproject.workflow.handler.coverimage,CoverImageWorkflowOperationHandlerBase,709,82,45,8,165,24,32,7,6,4
