GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: ingest-download-service-impl,org.opencastproject.ingestdownloadservice.impl,IngestDownloadServiceImpl,161,297,18,16,47,63,19,11,7,6
Opencast :: ingest-download-service-impl,org.opencastproject.ingestdownloadservice.impl,IngestDownloadServiceImpl.Operation,0,9,0,0,0,2,0,1,0,1
Opencast :: ingest-download-service-impl,org.opencastproject.ingestdownloadservice.impl.endpoint,IngestDownloadServiceEndpoint,32,49,5,3,11,14,7,4,3,4
